attributes,corr,type
potential,0.754187939565,personality
preferred_foot,-0.0155855557718,personality
attacking_work_rate,0.0896713106101,attack
defensive_work_rate,0.0161346156738,attack
crossing,0.365581752517,attack
finishing,0.322152329538,attack
heading_accuracy,0.345815972057,attack
short_passing,0.457130872987,attack
volleys,0.340235212922,attack
dribbling,0.345124075625,skill
curve,0.335412512752,skill
free_kick_accuracy,0.356144264053,skill
long_passing,0.452628576235,skill
ball_control,0.444832379611,skill
acceleration,0.279019210089,movement
sprint_speed,0.289877048176,movement
agility,0.236109912727,movement
reactions,0.740872602944,movement
balance,0.198728492454,movement
shot_power,0.431195366798,power
jumping,0.29721662941,power
stamina,0.39060800083,power
strength,0.398035441008,power
long_shots,0.391039523638,power
aggression,0.368917477798,mentality
interceptions,0.332214340075,mentality
positioning,0.403595140181,mentality
vision,0.450886683516,mentality
penalties,0.431284999651,mentality
marking,0.167130248416,defending
standing_tackle,0.191230346391,defending
sliding_tackle,0.140698880734,defending
height,0.00626381758332,personality
weight,0.0823824105194,personality
age,0.460376554763,personality
